schema_version,trial_id,strategy,media_run_id,successful,analysis_error_count,session_count,connection_count,expected_frames,received_unique_frames,missing_frame_count,duplicate_frame_count,largest_frame_id_gap,out_of_order_frames,largest_receive_gap_ms,recovery_action_duration_ms
1,migrate-001,migrate,5723179e-d311-4250-b2a7-3231d50c037e,True,0,1,1,60,58,2,0,2,0,935.5075039999997,155.0
1,reconnect-001,reconnect,77625e80-cade-47dd-a378-9a07c2c27613,True,0,2,2,60,53,7,0,7,0,801.7863690000004,2.0
1,migrate-002,migrate,763e1eb7-ee8e-46de-9e61-9bed4603d024,True,0,1,1,60,58,2,0,2,0,935.329119,156.0
1,reconnect-002,reconnect,84420fcf-9d6e-4d11-be7d-73b109386c67,True,0,2,2,60,53,7,0,7,0,802.4289880000001,1.0
1,migrate-003,migrate,6bd1bb06-59f8-41b1-bf79-e100df6a4876,True,0,1,1,60,55,5,0,3,0,1268.3589460000003,439.0
1,reconnect-003,reconnect,dbb9631d-afc7-4748-aec1-dc3cbc7023c1,True,0,2,2,60,50,10,0,8,0,899.7539319999996,1.0
1,migrate-004,migrate,42237870-8988-4e98-b019-733876937a6d,True,0,1,1,60,58,2,0,2,0,963.7542919999996,180.0
1,reconnect-004,reconnect,8cba5559-0c2f-44b2-8e62-58cb0e1ca58e,True,0,2,2,60,53,7,0,7,0,800.1268580000001,1.0
1,migrate-005,migrate,e955438e-ef91-40b6-848f-8e33e1ff95ce,True,0,1,1,60,58,2,0,2,0,941.9240220000002,156.0
1,reconnect-005,reconnect,14bb9af9-7d09-4d15-8ca4-5ce564384849,True,0,2,2,60,53,7,0,7,0,802.2649739999997,1.0
1,migrate-006,migrate,7d251825-f94b-4a00-91d8-6b894c8f740d,True,0,1,1,60,58,2,0,2,0,938.2300920000002,155.0
1,reconnect-006,reconnect,a0d6493d-b6c2-4c8c-9d8f-d3c9b896a15d,True,0,2,2,60,53,7,0,7,0,799.3414969999999,1.0
1,migrate-007,migrate,28b20abb-2ea4-44d7-8292-2334f7472767,True,0,1,1,60,58,2,0,2,0,941.627755,157.0
1,reconnect-007,reconnect,66d8787a-334d-4ee6-a681-87eb4eb37849,True,0,2,2,60,52,8,0,8,0,900.0956359999996,1.0
1,migrate-008,migrate,b6dcd6f3-0e0b-4e6e-926a-fca60456f68d,True,0,1,1,60,58,2,0,2,0,936.3639359999997,180.0
1,reconnect-008,reconnect,17732632-d192-4acb-8f8a-86d15e560395,True,0,2,2,60,53,7,0,7,0,798.2255479999999,1.0
1,migrate-009,migrate,e7d3bd0a-ac76-453c-9dec-0d48b568b6bf,True,0,1,1,60,57,3,0,2,0,936.516474,156.0
1,reconnect-009,reconnect,5f5ec510-15d8-453f-a343-c401d8c4c6e0,True,0,2,2,60,52,8,0,8,0,898.2517469999998,1.0
1,migrate-010,migrate,e5da51ae-85aa-478d-a14d-f9e8d3f3c1a9,True,0,1,1,60,58,2,0,2,0,935.4333350000002,155.0
1,reconnect-010,reconnect,dc2ceaaf-4e81-4909-8579-254459323032,True,0,2,2,60,52,8,0,7,0,799.7631269999997,1.0
